Name,Links,Cost,Collections,Cuisines,Timings,Avg_Rating,Review_Count,Avg_Sentiment,Weighted_Sentiment,Cluster
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",4.28,100.0,0.6633939999999999,0.6389197044499015,0
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM,4.7,100.0,0.8271250000000001,0.8028235664144849,0
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",4.66,100.0,0.7905629999999999,0.7701012739236749,3
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,3.21,100.0,0.288774,0.4227917428288199,2
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",4.34,100.0,0.7777970000000001,0.7866924361493985,3
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",4.22,100.0,0.7706310000000001,0.8184901877957892,3
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM,3.2,100.0,0.354495,0.5675412186872242,2
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300,Not Specified,Lebanese,12 Noon to 12 Midnight,3.43,100.0,0.336556,0.4409395430509706,2
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight,3.64,100.0,0.596001,0.6361981178221409,5
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",3.845,100.0,0.484002,0.5952392375457725,0
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.25,100.0,0.289814,0.41398187299968,2
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4.12,100.0,0.7159829999999999,0.7674012284923543,3
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM,3.62,100.0,0.48963700000000004,0.4131649959980638,2
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun),3.45,100.0,0.529571,0.643586042581363,5
AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1500,"Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",4.88,100.0,0.902735,0.9132806005857915,3
KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,500,Not Specified,"Burger, Fast Food",11 AM to 11 PM,2.85,100.0,0.112881,0.17207660421576498,1
NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550,Not Specified,North Indian,12 Noon to 10:30 PM,4.03,100.0,0.671956,0.7279018342549195,0
Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400,Not Specified,"Chinese, North Indian",11:30 AM to 1 AM,2.4,100.0,-0.09536,-0.12813756077428334,1
10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,1900,Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight,3.8,100.0,0.659678,0.7689500433895052,3
Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM,2.71,100.0,0.111972,0.2948967666933843,1
13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed",3.48,100.0,0.366539,0.5479749629997528,2
Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,1900,"Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM",3.535,100.0,0.5893160000000001,0.7109852265050127,3
B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1600,Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",4.81,100.0,0.8816240000000001,0.8926226980531492,3
Amul,https://www.zomato.com/hyderabad/amul-gachibowli,150,Not Specified,"Ice Cream, Desserts",10 AM to 5 AM,3.94,100.0,0.320203,0.3948785021120813,2
SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1400,"Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.37,100.0,0.559162,0.6423218056874215,5
Tiki Shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,1000,Not Specified,Continental,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)",3.48,100.0,0.57461,0.6540712976875771,5
Mustang Terrace Lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,1300,"Rooftops, Live Sports Screenings, Best Bars & Pubs","Mexican, Italian, North Indian, Chinese, Salad","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed",3.31,100.0,0.422739,0.4951868573227982,5
"3B's - Buddies, Bar & Barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,1100,"Barbecue & Grill, Live Sports Screenings","North Indian, Mediterranean, European","12 Noon to 4 PM, 6:30 PM to 11:30 PM",4.76,100.0,0.810532,0.8008331291330063,3
Behrouz Biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600,Not Specified,"Mughlai, Biryani",10 AM to 1 AM,2.825,100.0,0.28328400000000004,0.48483278095078336,2
Hunger Maggi Point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200,Not Specified,Fast Food,4:30 PM to 5:30 AM,3.12,100.0,0.177444,0.34808351114494157,2
Pot Pourri,https://www.zomato.com/hyderabad/pot-pourri-gachibowli,900,Not Specified,"Andhra, South Indian, North Indian",Not Available,3.32,100.0,0.49041,0.6009802836903262,5
Pista House,https://www.zomato.com/hyderabad/pista-house-2-gachibowli,1000,Haleem,"Bakery, North Indian, Mughlai, Juices, Chinese",11 AM to 12 Midnight,3.23,100.0,0.42897599999999997,0.6291799619634141,5
Marsala Food Company,https://www.zomato.com/hyderabad/marsala-food-company-gachibowli,700,"Mandi, Great Buffets, The ‘Must Visit’ Eateries","Arabian, North Indian, Chinese","12noon to 4pm, 7pm to 12midnight (Mon-Sun)",3.46,100.0,0.549249,0.6550741715484844,0
Club Rogue,https://www.zomato.com/hyderabad/club-rogue-gachibowli,900,Not Specified,"North Indian, Fast Food",11 AM to 12 Midnight,2.88,100.0,0.289939,0.33672906235801964,2
Mazzo - Marriott Executive Apartments,https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,1700,"Top-Rated, Gold Curated, Fancy and Fun","Italian, North Indian, South Indian, Asian",6am to 12midnight (Mon-Sun),4.19,100.0,0.819178,0.7984141432758507,3
Green Bawarchi Restaurant,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,700,Not Specified,"North Indian, Chinese, Biryani",12 Noon to 11 PM,3.49,100.0,0.19352599999999998,0.2595149221229527,2
Banana Leaf Multicuisine Restaurant,https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,700,Great Buffets,"Biryani, South Indian, North Indian, Chinese, Andhra","12:30 PM to 3:30 PM, 7 PM to 10:40 PM",3.69,100.0,0.466489,0.5362017788479904,2
Kritunga Restaurant,https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,500,Not Specified,"Andhra, Biryani, Hyderabadi, North Indian","12 Noon to 4 PM, 7 PM to 11 PM",3.47,100.0,0.250874,0.40214292587377753,2
The Glass Onion,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,1200,Fancy and Fun,"North Indian, Continental, Italian, Asian","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",3.83,100.0,0.742918,0.804476205746914,3
Deli 9 Bistro,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,700,Not Specified,"Cafe, Continental, Desserts",12 Noon to 10:30 PM,3.82,100.0,0.638378,0.6915510300240046,0
Frio Bistro,https://www.zomato.com/hyderabad/frio-bistro-gachibowli,1200,Not Specified,"European, Italian, Continental, Spanish",12noon to 11pm (Mon-Sun),3.61,100.0,0.619655,0.6542814601192726,5
Karachi Bakery,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,500,Not Specified,"Bakery, Fast Food, Desserts",10 AM to 10 PM,3.8,100.0,0.404168,0.5611254792344661,2
Karachi Cafe,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,600,Not Specified,"Cafe, Desserts, Fast Food",10 AM to 10 PM,3.715,100.0,0.5462440000000001,0.6255416958021137,0
The Foodie Monster Kitchen,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,500,"Great Breakfasts, Late Night Restaurants, Best shawarmas","American, Wraps, Desserts",7 AM to 1 AM,3.58,100.0,0.463223,0.5144311618056768,2
La La Land - Bar & Kitchen,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,1000,"Great Buffets, Trending This Week","Finger Food, North Indian, Kebab, Chinese",12 Noon to 11:30 PM,3.19,100.0,0.463383,0.5832041147493875,5
Owm Nom Nom,https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,900,Not Specified,"Chinese, Biryani, Andhra, North Indian",12Noon to 11:30PM (Mon-Sun),3.29,100.0,0.107147,0.13596918373029376,1
Ulavacharu,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,1400,"Function Venues, Regional Favorites","Andhra, North Indian, Chinese",12 Noon to 11:30 PM,3.225,100.0,0.356239,0.5202044123646432,5
Shanghai Chef 2,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,800,Pan-Asian Delicacies,"Chinese, Thai, Indonesian, Asian",12 Noon to 11 PM,3.06,100.0,0.423555,0.5307320539087199,2
Udipi's Upahar,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,500,Not Specified,"South Indian, North Indian, Chinese",6 AM to 10:30 PM,4.03,100.0,0.379287,0.5452298155336553,2
Mathura Vilas,https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,500,"Veggie Friendly, Terrific Thalis","South Indian, North Indian, Chinese","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM",2.82,100.0,0.30463,0.43634287460641297,2
Gal Punjab Di,https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,800,Not Specified,"North Indian, Continental","11:55 AM to 4 PM, 7 PM to 11:15 PM",3.61,100.0,0.6603190000000001,0.71448896751832,0
Hitech Bawarchi Food Zone,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,500,Not Specified,"Biryani, North Indian, Chinese",12 Noon to 11 PM,3.05,100.0,0.028845000000000006,0.047863898888160825,1
Biryanis And More,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,500,Not Specified,"North Indian, Biryani, Chinese",11 AM to 11 PM,3.74,100.0,0.35805,0.47220776786859325,2
Diners Pavilion,https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,1200,"Great Buffets, Live Sports Screenings","Chinese, Continental, Italian","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)",3.32,100.0,0.455211,0.5028052549925411,5
